iter	Passed	Remaining
0	4	451
1	9	484
2	14	458
3	17	422
4	22	419
5	26	412
6	30	406
7	34	400
8	39	397
9	43	390
10	47	384
11	53	393
12	58	389
13	63	388
14	67	383
15	71	376
16	76	373
17	80	367
18	84	361
19	88	355
20	93	352
21	97	346
22	101	341
23	106	337
24	110	332
25	114	326
26	118	321
27	122	315
28	127	311
29	131	306
30	135	301
31	139	296
32	143	291
33	147	286
34	151	281
35	155	276
36	160	272
37	164	268
38	168	263
39	172	258
40	176	254
41	178	246
42	182	241
43	186	237
44	191	233
45	195	229
46	199	225
47	203	220
48	208	216
49	212	212
50	216	207
51	220	203
52	224	199
53	228	194
54	231	189
55	235	185
56	239	180
57	243	176
58	248	172
59	252	168
60	256	164
61	261	159
62	265	155
63	269	151
64	273	147
65	278	143
66	282	139
67	286	134
68	290	130
69	295	126
70	300	122
71	306	119
72	311	115
73	317	111
74	322	107
75	327	103
76	331	99
77	335	94
78	339	90
79	344	86
80	347	81
81	352	77
82	356	72
83	360	68
84	364	64
85	368	59
86	372	55
87	376	51
88	381	47
89	385	42
90	389	38
91	394	34
92	398	29
93	402	25
94	406	21
95	410	17
96	414	12
97	418	8
98	422	4
99	427	0
